Color by field,Color by swap,Country,Region,Sector,Top country,Units,Year,Capacity (MW),Capacity GW & Generation TWh,Capacity MW & Generation GWh,Generation (GWh),Number of Records,Report year
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,MW,2016,70044,70.044,70044,,1,2017
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,MW,2016,33645,33.645,33645,,1,2017
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,MW,2016,2091,2.091,2091,,1,2017
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2016,49614.69,49.61469,49614.69,,1,2017
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,MW,2016,82519,82.519,82519,,1,2017
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,MW,2016,145548,145.548,145548,,1,2017
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,GWh,2017,,81,81000,81000,1,2018
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,GWh,2017,,4178,4178000,4178000,1,2018
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2017,,972.773112,972773.112,972773.112,1,2018
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,GWh,2017,,203,203000,203000,1,2018
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,GWh,2017,,248,248000,248000,1,2018
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,GWh,2017,,3,3000,3000,1,2018
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2017,,189.226888,189226.888,189226.888,1,2018
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,GWh,2017,,117.831,117831,117831,1,2018
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,GWh,2017,,305,305000,305000,1,2018
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,MW,2017,15370,15.37,15370,,1,2018
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,MW,2017,982048,982.048,982048,,1,2018
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2017,262333.3,262.3333,262333.3,,1,2018
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,MW,2017,75732,75.732,75732,,1,2018
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,MW,2017,35812,35.812,35812,,1,2018
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,MW,2017,1931,1.931,1931,,1,2018
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2017,53314.88,53.31488,53314.88,,1,2018
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,MW,2017,135519,135.519,135519,,1,2018
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,MW,2017,160477,160.477,160477,,1,2018
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,GWh,2018,,94,94000,94000,1,2019
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,GWh,2018,,4483,4483000,4483000,1,2019
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2018,,1023.196213,1023196.213,1023196.213,1,2019
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,GWh,2018,,216,216000,216000,1,2019
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,GWh,2018,,295,295000,295000,1,2019
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,GWh,2018,,2,2000,2000,1,2019
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2018,,175.803787,175803.787,175803.787,1,2019
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,GWh,2018,,175.6046,175604.6,175604.6,1,2019
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,GWh,2018,,269,269000,269000,1,2019
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,MW,2018,18418,18.418,18418,,1,2019
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,MW,2018,1002905,1002.905,1002905,,1,2019
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2018,274898.93,274.89893,274898.93,,1,2019
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,MW,2018,83683,83.683,83683,,1,2019
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,MW,2018,44658,44.658,44658,,1,2019
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,MW,2018,1731,1.731,1731,,1,2019
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2018,48749.07,48.74907,48749.07,,1,2019
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,MW,2018,179780,179.78,179780,,1,2019
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,MW,2018,180851,180.851,180851,,1,2019
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,GWh,2019,,111,111000,111000,1,2020
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,GWh,2019,,4561,4561000,4561000,1,2020
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2019,,1064.465513,1064465.513,1064465.513,1,2020
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,GWh,2019,,236,236000,236000,1,2020
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,GWh,2019,,349,349000,349000,1,2020
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,GWh,2019,,1,1000,1000,1,2020
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2019,,205.534487,205534.487,205534.487,1,2020
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,GWh,2019,,221.3478,221347.8,221347.8,1,2020
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,GWh,2019,,406,406000,406000,1,2020
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,MW,2019,23148,23.148,23148,,1,2020
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,MW,2019,1035065,1035.065,1035065,,1,2020
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2019,272700.19,272.70019,272700.19,,1,2020
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,MW,2019,90240,90.24,90240,,1,2020
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,MW,2019,48658,48.658,48658,,1,2020
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,MW,2019,1501,1.501,1501,,1,2020
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2019,52947.87,52.94787,52947.87,,1,2020
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,MW,2019,212901,212.901,212901,,1,2020
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,MW,2019,206375,206.375,206375,,1,2020
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,GWh,2020,,132.6,132600,132600,1,2021
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,GWh,2020,,4631.6,4631600,4631600,1,2021
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2020,,1106.885486,1106885.486,1106885.486,1,2021
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,GWh,2020,,248.5,248500,248500,1,2021
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,GWh,2020,,366.2,366200,366200,1,2021
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,GWh,2020,,0.858045827,858.0458265,858.0458265,1,2021
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2020,,214.9145135,214914.5135,214914.5135,1,2021
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,GWh,2020,,258.7368921,258736.8921,258736.8921,1,2021
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,GWh,2020,,466.5,466500,466500,1,2021
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,MW,2020,27648,27.648,27648,,1,2021
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,MW,2020,1070565.3,1070.5653,1070565.3,,1,2021
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2020,283604.87,283.60487,283604.87,,1,2021
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,MW,2020,99724,99.724,99724,,1,2021
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,MW,2020,49890,49.89,49890,,1,2021
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,MW,2020,1202,1.202,1202,,1,2021
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2020,55065.14,55.06514,55065.14,,1,2021
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,MW,2020,265008,265.008,265008,,1,2021
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,MW,2020,264181.476,264.181476,264181.476,,1,2021
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,GWh,2021,,165.316,165316,165316,1,2022
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,GWh,2021,,5026.959,5026959,5026959,1,2022
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2021,,1140.099,1140099,1140099,1,2022
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,GWh,2021,,283.37286,283372.86,283372.86,1,2022
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,GWh,2021,,407.4848,407484.8,407484.8,1,2022
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,GWh,2021,,0.8,800,800,1,2022
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,GWh,2021,,200,200000,200000,1,2022
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,GWh,2021,,324.047,324047,324047,1,2022
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,GWh,2021,,655.624,655624,655624,1,2022
Biomass,Sector,Mainland China,Asia-Pacific,Biomass,Mainland China,MW,2021,29894,29.894,29894,,1,2022
Coal,Sector,Mainland China,Asia-Pacific,Coal,Mainland China,MW,2021,1089344.9,1089.3449,1089344.9,,1,2022
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2021,296882.7979,296.8827979,296882.7979,,1,2022
Natural Gas,Sector,Mainland China,Asia-Pacific,Natural Gas,Mainland China,MW,2021,108594,108.594,108594,,1,2022
Nuclear,Sector,Mainland China,Asia-Pacific,Nuclear,Mainland China,MW,2021,53459,53.459,53459,,1,2022
Oil,Sector,Mainland China,Asia-Pacific,Oil,Mainland China,MW,2021,903,0.903,903,,1,2022
Hydroelectric,Sector,Mainland China,Asia-Pacific,Hydroelectric,Mainland China,MW,2021,57643.20208,57.64320208,57643.20208,,1,2022
Solar,Sector,Mainland China,Asia-Pacific,Solar,Mainland China,MW,2021,333608,333.608,333608,,1,2022
Wind,Sector,Mainland China,Asia-Pacific,Wind,Mainland China,MW,2021,320005.711,320.005711,320005.711,,1,2022
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2010,,1.5130445,1513.0445,1513.0445,1,2011
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2010,,49.4052795,49405.2795,49405.2795,1,2011
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2010,,6.317601766,6317.601766,6317.601766,1,2011
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2010,,65.223472,65223.472,65223.472,1,2011
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2010,,0,0,0,1,2011
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2010,,2.5384135,2538.4135,2538.4135,1,2011
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2010,,0.072197734,72.19773394,72.19773394,1,2011
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2010,,0.0063504,6.350399968,6.350399968,1,2011
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2010,,0,0,0,1,2011
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2010,758.29,0.75829,758.29,,1,2011
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,MW,2010,7680.7854,7.6807854,7680.7854,,1,2011
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2010,2114.5262,2.1145262,2114.5262,,1,2011
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,MW,2010,15089.7808,15.0897808,15089.7808,,1,2011
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,MW,2010,0,0,0,,1,2011
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,MW,2010,1535.6135,1.5356135,1535.6135,,1,2011
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2010,24,0.024,24,,1,2011
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,MW,2010,10,0.01,10,,1,2011
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,MW,2010,0,0,0,,1,2011
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2011,,1.5756556,1575.6556,1575.6556,1,2012
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2011,,52.302,52302,52302,1,2012
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2011,,8.010576451,8010.576451,8010.576451,1,2012
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2011,,55.732,55732,55732,1,2012
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2011,,0,0,0,1,2012
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2011,,9.403,9403,9403,1,2012
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2011,,0.045423549,45.42354892,45.42354892,1,2012
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2011,,0.008021558,8.021557854,8.021557854,1,2012
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2011,,0,0,0,1,2012
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2011,759.1611,0.7591611,759.1611,,1,2012
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,MW,2011,7679.7533,7.6797533,7679.7533,,1,2012
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2011,3013.898,3.013898,3013.898,,1,2012
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,MW,2011,14665.7414,14.6657414,14665.7414,,1,2012
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,MW,2011,0,0,0,,1,2012
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,MW,2011,2311.6029,2.3116029,2311.6029,,1,2012
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2011,17,0.017,17,,1,2012
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,MW,2011,12,0.012,12,,1,2012
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,MW,2011,0,0,0,,1,2012
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2012,,1.5016624,1501.6624,1501.6624,1,2013
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2012,,55.615,55615,55615,1,2013
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2012,,9.206376545,9206.376545,9206.376545,1,2013
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2012,,60.992,60992,60992,1,2013
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2012,,0,0,0,1,2013
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2012,,6.623,6623,6623,1,2013
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2012,,0.044623455,44.62345493,44.62345493,1,2013
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2012,,0.0134077,13.4077,13.4077,1,2013
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2012,,0,0,0,1,2013
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2012,807.072,0.807072,807.072,,1,2013
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,MW,2012,7678.7136,7.6787136,7678.7136,,1,2013
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2012,3317.6424,3.3176424,3317.6424,,1,2013
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,MW,2012,15256.5432,15.2565432,15256.5432,,1,2013
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,MW,2012,0,0,0,,1,2013
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,MW,2012,1755.3816,1.7553816,1755.3816,,1,2013
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2012,16,0.016,16,,1,2013
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,MW,2012,41,0.041,41,,1,2013
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,MW,2012,0,0,0,,1,2013
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2013,,1.10357,1103.57,1103.57,1,2014
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2013,,53.663,53663,53663,1,2014
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2013,,11.64772307,11647.72307,11647.72307,1,2014
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2013,,71.174,71174,71174,1,2014
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2013,,0,0,0,1,2014
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2013,,3.312,3312,3312,1,2014
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2013,,0.151276927,151.276927,151.276927,1,2014
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2013,,0.09748,97.48,97.48,1,2014
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2013,,0,0,0,1,2014
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2013,1100.53,1.10053,1100.53,,1,2014
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,MW,2013,7650,7.65,7650,,1,2014
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2013,4467.1,4.4671,4467.1,,1,2014
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,MW,2013,14554.5,14.5545,14554.5,,1,2014
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,MW,2013,0,0,0,,1,2014
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,MW,2013,2454.56,2.45456,2454.56,,1,2014
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2013,50.4,0.0504,50.4,,1,2014
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,MW,2013,91,0.091,91,,1,2014
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,MW,2013,0,0,0,,1,2014
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2014,,0.9178,917.8,917.8,1,2015
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2014,,53.693,53693,53693,1,2015
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2014,,13.44638592,13446.38592,13446.38592,1,2015
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2014,,74.466,74466,74466,1,2015
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2014,,0,0,0,1,2015
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2014,,1.132,1132,1132,1,2015
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2014,,0.093614079,93.6140792,93.6140792,1,2015
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2014,,0.07751,77.51,77.51,1,2015
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2014,,0,0,0,1,2015
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2014,1347.73,1.34773,1347.73,,1,2015
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,MW,2014,7680,7.68,7680,,1,2015
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2014,4741,4.741,4741,,1,2015
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,MW,2014,14559.74,14.55974,14559.74,,1,2015
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,MW,2014,0,0,0,,1,2015
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,MW,2014,2350.25,2.35025,2350.25,,1,2015
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2014,33,0.033,33,,1,2015
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,MW,2014,176,0.176,176,,1,2015
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,MW,2014,0,0,0,,1,2015
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2015,,0.86185,861.85,861.85,1,2016
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2015,,60.129,60129,60129,1,2016
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2015,,15.2382124,15238.2124,15238.2124,1,2016
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2015,,67.9,67900,67900,1,2016
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2015,,0,0,0,1,2016
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2015,,1.472,1472,1472,1,2016
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2015,,0.285787603,285.7876034,285.7876034,1,2016
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2015,,0.21602,216.02,216.02,1,2016
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2015,,0,0,0,1,2016
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2015,953.99,0.95399,953.99,,1,2016
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,MW,2015,8690,8.69,8690,,1,2016
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2015,5633,5.633,5633,,1,2016
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,MW,2015,15543.65,15.54365,15543.65,,1,2016
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,MW,2015,0,0,0,,1,2016
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,MW,2015,1430.56,1.43056,1430.56,,1,2016
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2015,105.23,0.10523,105.23,,1,2016
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,MW,2015,271,0.271,271,,1,2016
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,MW,2015,0,0,0,,1,2016
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2016,,0.90097,900.97,900.97,1,2017
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2016,,66.246,66246,66246,1,2017
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2016,,20.13911589,20139.11589,20139.11589,1,2017
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2016,,69.871,69871,69871,1,2017
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2016,,0,0,0,1,2017
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2016,,1.142,1142,1142,1,2017
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2016,,0.217884113,217.8841125,217.8841125,1,2017
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2016,,0.13234,132.34,132.34,1,2017
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2016,,0,0,0,1,2017
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2016,867.85,0.86785,867.85,,1,2017
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,MW,2016,9546,9.546,9546,,1,2017
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2016,6049.8,6.0498,6049.8,,1,2017
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,MW,2016,14155.96,14.15596,14155.96,,1,2017
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,MW,2016,0,0,0,,1,2017
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,MW,2016,1913.21,1.91321,1913.21,,1,2017
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,MW,2016,65.59,0.06559,65.59,,1,2017
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,MW,2016,316,0.316,316,,1,2017
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,MW,2016,0,0,0,,1,2017
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,GWh,2017,,0.771474336,771.474336,771.474336,1,2018
Coal,Sector,Malaysia,Asia-Pacific,Coal,Other countries,GWh,2017,,68.866,68866,68866,1,2018
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2017,,26.40646915,26406.46915,26406.46915,1,2018
Natural Gas,Sector,Malaysia,Asia-Pacific,Natural Gas,Other countries,GWh,2017,,62.131,62131,62131,1,2018
Nuclear,Sector,Malaysia,Asia-Pacific,Nuclear,Other countries,GWh,2017,,0,0,0,1,2018
Oil,Sector,Malaysia,Asia-Pacific,Oil,Other countries,GWh,2017,,1.695,1695,1695,1,2018
Hydroelectric,Sector,Malaysia,Asia-Pacific,Hydroelectric,Other countries,GWh,2017,,0.30953085,309.5308497,309.5308497,1,2018
Solar,Sector,Malaysia,Asia-Pacific,Solar,Other countries,GWh,2017,,0.337520022,337.520022,337.520022,1,2018
Wind,Sector,Malaysia,Asia-Pacific,Wind,Other countries,GWh,2017,,0,0,0,1,2018
Biomass,Sector,Malaysia,Asia-Pacific,Biomass,Other countries,MW,2017,846,0.846,846,,1,2018
